TaskID,OlympiadID,SubjectID,TaskDescription
1,1,1,Решить задачу на геометрию
2,1,1,Решить систему уравнений
3,1,1,Найти производную функции
4,1,1,Решить интеграл
5,1,1,Доказать теорему
6,1,1,Найти корень уравнения
7,1,1,Решить задачу на комбинаторику
8,1,1,Решить задачу на алгебру
9,1,1,Составить математическую модель
10,1,1,Решить задачу на теорию вероятностей
11,1,1,Решить задачу на анализ
12,1,1,Найти гипотенузу треугольника
13,1,1,Решить задачу на дифференциальные уравнения
14,1,2,Рассчитать силу тяжести
15,1,2,Решить задачу на динамику
16,1,2,Определить плотность материала
17,1,2,Решить задачу на теплопередачу
18,1,2,Рассчитать энергию
19,1,2,Определить вектор скорости
20,1,2,Исследовать электрическую цепь
21,1,2,Определить индуктивность
22,1,2,Решить задачу на оптику
23,1,2,Измерить температуру
24,1,2,Решить задачу на электромагнетизм
25,1,2,Определить объем газа
26,1,2,Решить задачу на кинематику
